Recurrence length,LSTM Units,Embedding Dimension,FF model shape,Initial Learning Rate,Regularization,Metric,Training loss,Val loss,time_start,time_duration,Epochs,Columns,LSTM type,user,coordinates
30,64,0,"[4, 1]",0.001,Batch Normalization,mse,9.1676025390625,9.465928077697754,2021-06-16 21:10:57.621195,"1 day, 1:59:45.177917",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 0, 1]"
30,64,0,"[2, 2, 2, 2, 1]",0.001,Batch Normalization,mse,9.206477165222168,9.469545364379885,2021-06-16 21:50:16.999850,"1 day, 1:43:21.908849",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 3, 0, 0]"
30,64,0,"[8, 2, 1]",0.001,Batch Normalization,mse,8.985692977905273,9.475712776184082,2021-06-17 23:26:38.957656,20:57:39.761432,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 4, 0, 0]"
30,64,0,"[4, 1]",0.001,Batch Normalization,mse,8.951202392578125,9.48318862915039,2021-06-16 21:11:00.341655,"1 day, 1:26:39.819928",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 0, 0, 1]"
30,64,0,"[4, 1]",0.001,Batch Normalization,mse,8.970538139343262,9.48814296722412,2021-06-20 16:24:45.395460,"1 day, 3:47:31.310801",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 0, 0, 1]"
30,64,50,"[2, 1]",0.001,Batch Normalization,mse,8.788923263549805,9.49423885345459,2021-06-24 02:04:19.573240,"1 day, 11:10:41.150777",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 0, 4, 0]"
30,64,0,"[2, 2, 2, 2, 1]",0.001,Batch Normalization,mse,8.983194351196289,9.49984359741211,2021-06-17 22:46:42.673704,20:59:57.491563,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 3, 0, 0]"
30,64,0,"[2, 2, 2, 1]",0.001,Batch Normalization,mse,8.993147850036621,9.51879596710205,2021-06-20 17:07:02.377669,"1 day, 3:48:06.939967",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 2, 0, 0]"
30,64,0,"[2, 2, 1]",0.001,Batch Normalization,mse,8.989957809448242,9.529404640197754,2021-06-19 13:22:43.608374,"1 day, 5:09:26.434233",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 1, 0, 0]"
30,64,0,"[2, 1]",0.001,Batch Normalization,mse,8.98866081237793,9.531006813049316,2021-06-19 13:03:26.590364,"1 day, 3:14:25.047081",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 0, 0, 0]"
30,32,0,"[8, 2, 1]",0.001,Batch Normalization,mse,9.298236846923828,9.552352905273438,2021-06-16 02:25:17.768509,16:25:33.114728,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[2, 4, 0, 0]"
30,32,0,"[4, 1]",0.001,Batch Normalization,mse,9.380221366882324,9.61899471282959,2021-06-15 15:28:59.264306,16:39:15.177215,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[2, 0, 0, 1]"
30,64,0,"[2, 2, 2, 1]",0.001,Batch Normalization,mse,9.111268997192385,9.635912895202637,2021-06-16 21:31:36.370473,"1 day, 2:26:07.291332",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 2, 0, 0]"
30,32,5,"[2, 1]",0.001,Batch Normalization,mse,9.081748008728027,9.673263549804688,2021-06-12 18:50:57.355288,13:53:44.085294,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[2, 0, 1, 0]"
30,32,0,"[2, 1]",0.001,Batch Normalization,mse,9.17663860321045,9.68441677093506,2021-06-11 19:54:00.028626,13:35:48.874919,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[2, 0, 0, 0]"
30,32,0,"[2, 2, 1]",0.001,Batch Normalization,mse,9.1890287399292,9.692663192749023,2021-06-12 18:51:16.754035,14:07:58.371918,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[2, 1, 0, 0]"
30,32,0,"[4, 1]",0.001,Batch Normalization,mse,9.206533432006836,9.71987533569336,2021-06-12 18:50:53.212952,14:04:49.720134,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[2, 0, 0, 1]"
30,32,0,"[4, 1]",0.001,Batch Normalization,mse,9.170380592346191,9.728116989135742,2021-06-12 18:51:19.346936,14:39:21.965043,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[2, 0, 0, 1]"
30,32,0,"[8, 2, 1]",0.001,Batch Normalization,mse,9.165406227111816,9.754807472229004,2021-06-16 02:25:18.803976,18:40:04.473469,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[2, 4, 0, 0]"
30,32,0,"[2, 2, 2, 2, 1]",0.001,Batch Normalization,mse,9.412793159484863,9.859046936035156,2021-06-15 21:46:31.442295,19:32:38.436493,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[2, 3, 0, 0]"
30,16,0,"[2, 2, 2, 1]",0.001,Batch Normalization,mse,9.932819366455078,9.869630813598633,2021-06-11 20:13:58.266017,9:51:54.274859,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[1, 2, 0, 0]"
30,16,0,"[8, 2, 1]",0.001,Batch Normalization,mse,9.719916343688965,9.917521476745604,2021-06-12 05:51:15.088916,9:06:28.820492,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[1, 4, 0, 0]"
30,16,0,"[2, 2, 2, 2, 1]",0.001,Batch Normalization,mse,9.95736598968506,9.944731712341309,2021-06-11 20:13:53.930053,9:54:54.821053,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[1, 3, 0, 0]"
30,16,5,"[2, 1]",0.001,Batch Normalization,mse,9.939024925231934,10.090560913085938,2021-06-11 20:11:28.547805,9:34:15.037099,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[1, 0, 1, 0]"
30,16,0,"[4, 1]",0.001,Batch Normalization,mse,9.584644317626951,10.108403205871582,2021-06-11 20:11:28.392039,9:37:38.274837,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[1, 0, 0, 1]"
30,16,0,"[2, 2, 2, 2, 1]",0.001,Batch Normalization,mse,9.57938289642334,10.147100448608398,2021-06-12 05:47:49.702501,9:54:51.316109,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[1, 3, 0, 0]"
30,16,0,"[2, 2, 2, 1]",0.001,Batch Normalization,mse,9.630267143249512,10.151975631713867,2021-06-11 20:14:02.878294,9:52:38.203070,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[1, 2, 0, 0]"
30,16,0,"[8, 2, 1]",0.001,Batch Normalization,mse,9.659521102905272,10.3466215133667,2021-06-12 06:07:58.225044,9:22:56.054157,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[1, 4, 0, 0]"
30,64,0,"[4, 1]",0.001,Batch Normalization,mse,10.33413791656494,10.527361869812012,2021-06-16 21:31:44.578537,"1 day, 2:09:48.821074",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 0, 0, 1]"
30,128,0,"[2, 1]",0.001,Batch Normalization,mse,12.013574600219728,11.27414608001709,2021-06-19 13:35:16.121420,"1 day, 20:18:56.972503",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[4, 0, 0, 0]"
60,64,0,"[6, 6, 1]",0.001,Batch Normalization,mse,11.979065895080566,11.914292335510254,2021-07-03 05:50:30.338140,"1 day, 17:30:18.748821",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 1, 0, 2]"
60,128,0,"[6, 1]",0.001,Batch Normalization,mse,13.72413444519043,14.49465274810791,2021-07-05 18:11:29.236867,"2 days, 11:44:44.650784",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[4, 0, 0, 2]"
60,128,0,"[2, 1]",0.001,Batch Normalization,mse,14.246068954467772,14.901400566101074,2021-06-30 10:56:36.190554,"2 days, 18:24:08.569378",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[4, 0, 0, 0]"
60,64,10,"[2, 1]",0.001,Batch Normalization,mse,14.532037734985352,15.48379898071289,2021-06-27 21:18:17.955173,"2 days, 1:25:20.561026",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 2, 0]"
60,64,10,"[2, 2, 1]",0.001,Batch Normalization,mse,16.531810760498047,16.525348663330078,2021-07-04 19:12:30.706778,"1 day, 12:50:23.513119",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 1, 2, 0]"
60,128,0,"[6, 1]",0.001,Batch Normalization,mse,16.522258758544922,16.666301727294922,2021-07-03 07:40:46.851268,"2 days, 23:39:32.323009",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[4, 0, 0, 2]"
60,32,0,"[2, 2, 1]",0.001,Batch Normalization,mse,17.45530128479004,17.335983276367188,2021-07-04 23:21:02.227691,"1 day, 0:42:41.992373",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[2, 1, 0, 0]"
60,128,0,"[2, 1]",0.001,Batch Normalization,mse,17.68839454650879,17.66802978515625,2021-06-30 10:56:40.389128,"2 days, 18:41:55.753849",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[4, 0, 0, 0]"
60,32,10,"[2, 2, 1]",0.001,Batch Normalization,mse,19.99560165405273,19.99972343444824,2021-07-02 02:20:38.075455,"1 day, 0:53:36.190305",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[2, 1, 2, 0]"
60,64,10,"[2, 2, 1]",0.001,Batch Normalization,mse,19.995115280151367,20.000682830810547,2021-07-04 21:21:33.632544,"1 day, 16:59:52.666145",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 1, 2, 0]"
60,64,20,"[2, 1]",0.001,Batch Normalization,mse,19.995525360107422,20.000686645507812,2021-07-06 14:31:19.654980,"1 day, 15:51:46.954074",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 0, 3, 0]"
60,128,10,"[2, 1]",0.001,Batch Normalization,mse,19.994808197021484,20.00239944458008,2021-06-30 11:16:34.494981,"2 days, 20:25:27.348644",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[4, 0, 2, 0]"
60,128,10,"[2, 1]",0.001,Batch Normalization,mse,19.994916915893555,20.00289535522461,2021-07-03 06:02:05.646226,"2 days, 12:10:21.681467",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[4, 0, 2, 0]"
30,16,5,"[2, 1]",0.001,Batch Normalization,mse,19.964778900146484,20.01253890991211,2021-06-11 20:11:51.768629,9:54:42.982275,5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[1, 0, 1, 0]"
30,64,5,"[2, 1]",0.001,Batch Normalization,mse,19.964675903320312,20.0125675201416,2021-06-16 21:31:27.649801,"1 day, 2:44:05.556845",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 0, 1, 0]"
30,128,10,"[2, 1]",0.001,Batch Normalization,mse,19.964338302612305,20.012733459472656,2021-06-25 10:37:00.840618,"2 days, 2:46:14.429917",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[4, 0, 2, 0]"
30,128,50,"[2, 1]",0.001,Batch Normalization,mse,19.96449279785156,20.01274871826172,2021-06-25 05:50:39.990268,"2 days, 3:13:17.941435",5,"['day_of_week', 'avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[4, 0, 4, 0]"
30,64,0,"[2, 2, 2, 1]",0.001,Batch Normalization,mse,19.96417617797852,20.012908935546875,2021-06-20 16:34:30.411897,"1 day, 3:50:07.713979",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Unconditioned,asharma,"[3, 2, 0, 0]"
30,64,0,"[2, 2, 2, 2, 1]",0.001,Batch Normalization,mse,19.96430206298828,20.01347541809082,2021-06-20 18:13:26.144390,"1 day, 3:42:52.326338",5,"['avg_employees', 'perc_hours_today_before', 'perc_hours_yesterday_before', 'perc_hours_tomorrow_before']",Conditioned,asharma,"[3, 3, 0, 0]"
